 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor 
MelhorApt1 -9,968678 -15,098838 -6,435239 -13,007592 -13,330301 -16,859352 -9,854252 -13,561318 -12,486278 -12,486278 -12,308812600000001 -16,859352 
MelhorApt2 -10,512499 -16,1482 -7,472696 -10,865704 -13,330301 -16,859352 -5,302449 -13,561318 -6,714859 -16,339328 -11,7106706 -16,859352 
MelhorApt3 -11,548477 -16,1482 -7,022546 -12,099256 -13,723626 -8,923231 -4,917697 -12,358112 -6,736228 -16,859352 -11,0336725 -16,859352 
MelhorApt4 -9,968678 -16,1482 -7,022546 -12,099256 -13,723626 -5,122328 -6,40144 -13,41646 -8,011242 -16,859352 -10,8773128 -16,859352 
MelhorApt5 -11,548477 -16,875941 -7,102414 -10,865704 -8,380817 -16,859352 -7,419401 -14,881573 -8,294593 -16,859352 -11,9087624 -16,875941 
MelhorApt6 -16,372332 -16,863505 -7,764997 -10,970436 -5,524052 -12,708414 -7,419401 -16,863505 -7,472696 -16,859352 -11,881869 -16,863505 
MelhorApt7 -7,081677 -16,863505 -9,34381 -10,970436 -16,863505 -13,797273 -7,419401 -16,863505 -5,097808 -16,859352 -12,1160272 -16,863505 
MelhorApt8 -7,081677 -16,863505 -9,34381 -10,970436 -16,863505 -16,875941 -8,038995 -16,875941 -5,097808 -16,859352 -12,487097 -16,875941 
MelhorApt9 -13,389726 -16,863505 -9,34381 -13,730914 -16,875941 -16,875941 -8,038995 -16,863505 -5,097808 -16,859352 -13,3939497 -16,875941 
MelhorApt10 -14,766743 -16,863505 -9,34381 -10,970436 -16,875941 -16,875941 -8,923231 -16,863505 -9,79235 -16,859352 -13,8134814 -16,875941 
