;Teste1;Teste2;Teste3;Teste4;Teste5;Teste6;Teste7;Teste8;Teste9;Teste10;Media;Melhor
MelhorApt1;-13,6835;6,8502;12,0112;7,2947;-10,4588;-13,3897;-3,2947;-12,5961;-16,8222;-13,4165;-5,7505;-16,8222
MelhorApt2;-13,6835;6,8502;12,0112;7,2947;-10,4588;17,7394;-3,2947;-12,5961;-16,8136;1,6948;-1,1256;-16,8136
MelhorApt3;-13,7236;6,8502;14,6181;-13,6189;-10,4588;-13,3897;-3,2947;-13,5299;-16,8222;1,6948;-6,1675;-16,8222
MelhorApt4;-13,7236;-12,9603;14,6181;-13,6189;-10,4588;17,7394;-3,5452;-13,5299;-16,8222;1,6948;-5,0607;-16,8222
MelhorApt5;-13,7236;-12,9603;-6,1198;-13,6189;-10,4588;-13,3897;-3,5452;-13,6835;-16,8222;-13,4165;-11,7738;-16,8222
MelhorApt6;-13,7236;-12,9603;-6,1198;-13,6189;-10,4588;-15,9809;-3,5452;-13,6835;-16,8222;-13,4165;-12,033;-16,8222
MelhorApt7;-13,7236;-12,9603;-7,1024;-13,6835;-10,4588;-15,9809;-3,5452;-13,6835;-16,8222;-13,4165;-12,1377;-16,8222
MelhorApt8;-13,7236;-12,9603;-7,1024;-13,7309;-10,4588;-15,9809;-3,5452;-13,6835;-16,8222;-13,4165;-12,1424;-16,8222
MelhorApt9;-13,7236;-12,9603;-9,3438;-13,7309;-10,4588;-15,9809;-4,2298;-13,6835;3,0782;-13,4165;-10,445;-15,9809
MelhorApt10;-13,7236;-12,9603;-9,3438;-13,7309;-10,4588;-15,9809;-4,2298;-13,6835;-16,8759;-13,4165;-12,4404;-16,8759
