 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1ªMelhorApt -10,0111 -16,5269 -7,3702 -12,2209 -13,7309 -16,5015 -16,8759 -13,6835 -14,0215 -16,6347 -13,7577 -16,8759 
2ªMelhorApt -10,0111 -16,5269 -7,3702 -14,1822 -13,7309 -16,5015 -16,8759 -13,7236 -16,8222 -16,6347 -14,2379 -16,8759 
3ªMelhorApt -10,0111 -16,5269 -7,3702 -16,8222 -13,7309 -16,7522 -16,8759 -15,9283 -16,8222 -16,6347 -14,7475 -16,8759 
4ªMelhorApt -10,0111 -16,6537 -7,3702 -16,8222 -13,7309 -16,7522 -16,8759 -16,1482 -16,8222 -16,8759 -14,8063 -16,8759 
5ªMelhorApt -10,0111 -16,6537 -7,477 -16,8759 -13,7309 -16,7522 -16,8759 -16,1482 -16,8222 -16,8759 -14,8223 -16,8759 
6ªMelhorApt -10,0111 -16,6537 -7,477 -16,8759 -13,7309 -16,8635 -16,8759 -16,1482 -16,8222 -16,8759 -14,8334 -16,8759 
7ªMelhorApt -10,4588 -16,6537 -10,3507 -16,8759 -13,7309 -16,8635 -16,8759 -16,5015 -16,8222 -16,8759 -15,2009 -16,8759 
8ªMelhorApt -10,4588 -16,6537 -10,3507 -16,8759 -13,7309 -16,8635 -16,8759 -16,5015 -16,8759 -16,8759 -15,2063 -16,8759 
9ªMelhorApt -10,4588 -16,6537 -10,3507 -16,8759 -13,7309 -16,8635 -16,8759 -16,7522 -16,8759 -16,8759 -15,2313 -16,8759 
10ªMelhorApt -10,4588 -16,6537 -10,3507 -16,8759 -13,7309 -16,8635 -16,8759 -16,7522 -16,8759 -16,8759 -15,2313 -16,8759 
11ªMelhorApt -10,4588 -16,6537 -10,3507 -16,8759 -13,7309 -16,8759 -16,8759 -16,8594 -16,8759 -16,8759 -15,2433 -16,8759 
12ªMelhorApt -10,4588 -16,6537 -10,3507 -16,8759 -13,7309 -16,8759 -16,8759 -16,8594 -16,8759 -16,8759 -15,2433 -16,8759 
13ªMelhorApt -10,4588 -16,8635 -16,5015 -16,8759 -13,7309 -16,8759 -16,8759 -16,8594 -16,8759 -16,8759 -15,8794 -16,8759 
14ªMelhorApt -10,4588 -16,8635 -16,5015 -16,8759 -13,7309 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -15,881 -16,8759 
15ªMelhorApt -10,4588 -16,8635 -16,7522 -16,8759 -13,7309 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -15,9061 -16,8759 
16ªMelhorApt -10,4588 -16,8635 -16,7522 -16,8759 -13,7309 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -15,9061 -16,8759 
17ªMelhorApt -10,4588 -16,8635 -16,7522 -16,8759 -13,7309 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -15,9061 -16,8759 
18ªMelhorApt -15,9283 -16,8635 -16,8222 -16,8759 -13,7309 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -16,46 -16,8759 
19ªMelhorApt -15,9283 -16,8635 -16,8222 -16,8759 -13,7394 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -16,4609 -16,8759 
20ªMelhorApt -15,9283 -16,8635 -16,8222 -16,8759 -13,7394 -16,8759 -16,8759 -16,8759 -16,8759 -16,8759 -16,4609 -16,8759 
