 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor 
MelhorApt1 7,7662 7,5056 -8,9256 -13,0076 -16,1482 -13,7309 5,2883 -16,5015 6,6587 15,6447 -2,545 -16,5015 
MelhorApt2 7,7662 -7,4194 -16,3723 -13,0076 -16,1482 -13,7309 14,5942 -16,5015 -6,0757 -6,8518 -7,3747 -16,5015 
MelhorApt3 -13,6417 -7,4194 -16,6537 -13,2787 11,2266 -13,6189 -15,9283 -16,5015 1,8138 -9,6041 -9,3606 -16,6537 
MelhorApt4 -13,6417 1,876 4,6868 -13,2787 4,7362 9,8296 -16,1482 -16,8759 -10,5119 1,3097 -4,8018 -16,8759 
MelhorApt5 -13,7309 -8,0112 4,6868 10,0757 -16,1482 -15,4034 -16,7388 -16,8759 -0,7389 0,6835 -7,2201 -16,8759 
MelhorApt6 -13,7309 -8,0112 4,6868 4,4987 4,7362 -15,4034 2,713 8,0372 -15,0988 -16,1902 -4,3763 -16,1902 
MelhorApt7 -13,7394 -8,0112 4,6868 3,6497 4,7362 -15,4034 -16,8136 8,0372 -15,0988 8,2539 -3,9703 -16,8136 
MelhorApt8 -13,7394 -10,5107 2,5219 -13,4165 -16,6347 -16,3393 -16,8594 -16,8759 -15,0988 -16,8635 -13,3816 -16,8759 
MelhorApt9 -13,7394 -10,5107 -16,8222 -13,4165 -16,6347 -16,3393 -16,8594 2,4912 -6,4014 -16,8635 -12,5096 -16,8635 
MelhorApt10 -13,7394 -10,5107 -16,8222 -13,4165 -16,6537 -16,3393 -16,8635 -16,8759 -16,8594 -16,8635 -15,4944 -16,8759 
