 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1ªMelhorApt-11,521 -16,3723 -15,9283 -16,6537 -16,8759 -14,0215 -16,5015 -13,7309 -12,7084 -13,2787 -14,7592 -16,8759 
2ªMelhorApt-11,521 -16,3723 -16,8222 -16,6537 -16,8759 -14,4075 -16,5015 -13,7309 -13,6417 -13,7394 -15,0266 -16,8759 
3ªMelhorApt-11,521 -16,3723 -16,8635 -16,6537 -16,8759 -14,4075 -16,8759 -13,7309 -13,6983 -13,7394 -15,0738 -16,8759 
4ªMelhorApt-11,521 -16,3723 -16,8635 -16,6537 -16,8759 -16,7522 -16,8759 -13,7309 -13,6983 -13,7394 -15,3083 -16,8759 
5ªMelhorApt-11,521 -16,3723 -16,8635 -16,6537 -16,8759 -16,7522 -16,8759 -13,7309 -13,6983 -13,7394 -15,3083 -16,8759 
6ªMelhorApt-13,4574 -16,3723 -16,8635 -16,6537 -16,8759 -16,7522 -16,8759 -13,7309 -13,7394 -13,7394 -15,5061 -16,8759 
7ªMelhorApt-13,5613 -16,3723 -16,8635 -16,6537 -16,8759 -16,7522 -16,8759 -13,7309 -13,7394 -13,7394 -15,5164 -16,8759 
8ªMelhorApt-13,5613 -16,3723 -16,8635 -16,6537 -16,8759 -16,8222 -16,8759 -13,7309 -13,7394 -13,7394 -15,5235 -16,8759 
9ªMelhorApt-13,5613 -16,3723 -16,8635 -16,6537 -16,8759 -16,8222 -16,8759 -13,7309 -13,7394 -13,7394 -15,5235 -16,8759 
10ªMelhorApt-13,5613 -16,3723 -16,8635 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,5276 -16,8759 
11ªMelhorApt-13,5613 -16,3723 -16,8635 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,5276 -16,8759 
12ªMelhorApt-13,5613 -16,6537 -16,8635 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,5557 -16,8759 
13ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,557 -16,8759 
14ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,557 -16,8759 
15ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,557 -16,8759 
16ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7309 -13,7394 -13,7394 -15,557 -16,8759 
17ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7394 -13,7394 -13,7394 -15,5578 -16,8759 
18ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7394 -13,7394 -13,7394 -15,5578 -16,8759 
19ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7394 -13,7394 -13,7394 -15,5578 -16,8759 
20ªMelhorApt-13,5613 -16,6537 -16,8759 -16,6537 -16,8759 -16,8635 -16,8759 -13,7394 -13,7394 -13,7394 -15,5578 -16,8759 
